Weight	Nested	Procedure	stimulussentence	sentID	Condition	label	CriticalWord	repCorr
1		trialprocedure	Hemma hon satt vid sin bänk.	152	1	132	2	j
1		trialprocedure	Kanske hon målade en bild på hunden.	303	1	122	2	j
1		trialprocedure	Idag efter rasten satt flickan.	472	2	243	5	f
1		trialprocedure	Kanske betalade hon.	63	2	222	3	f
1		trialprocedure	Hemma i Lund pojken klättrade upp till skåpen.	188	1	133	4	j
1		trialprocedure	Idag efter rasten flickan pratade med sin fröken.	13	1	143	4	j
1		trialprocedure	Idag pratade hon med sin fröken.	326	2	242	3	f
1		trialprocedure	Idag han spelade fotboll på gräsmattan.	279	1	142	2	j
1		trialprocedure	Hemma vaknade han.	407	2	232	3	f
1		trialprocedure	Naturligtvis pojken klättrade upp i trädet snabbt.	436	1	114	2	j
1		trialprocedure	Idag sov pojken i gräset.	469	2	244	3	f
1		trialprocedure	Hemma vilade flickan länge.	302	2	234	3	f
1		trialprocedure	Naturligtvis ramlade pojken ner från trädet.	412	2	214	3	f
1		trialprocedure	Naturligtvis hon badade hemma i kväll.	304	1	112	2	j
1		trialprocedure	Hemma hos Lars hon dansade hela dagen.	121	1	131	4	j
1		trialprocedure	Hemma i Lund låg flickan på soffan och tänkte.	176	2	233	5	f
1		trialprocedure	Naturligtvis städade hon hela köket.	146	2	212	3	f
1		trialprocedure	Hemma hos Anna berättade hon vad hon bakade hos Anna.	223	2	231	5	f
1		trialprocedure	Idag på eftermiddagen hon joggade hela vägen hem.	463	1	141	4	j
1		trialprocedure	Kanske letade pojken efter Sara som lekte.	42	2	224	3	f
1		trialprocedure	Idag efter skolan låg hon i soffan och läste.	473	2	241	5	f
1		trialprocedure	Kanske flickan åt godiset själv.	148	1	124	2	j
1		trialprocedure	Idag pojken städade undan sina kläder.	419	1	144	2	j
1		trialprocedure	Hemma pojken jobbade gärna.	330	1	134	2	j
1		trialprocedure	Hemma hos Eva jobbade han gärna.	164	2	231	5	f
1		trialprocedure	Naturligtvis talade hon med Anders.	1	2	212	3	f
1		trialprocedure	Hemma han skrattade.	59	1	132	2	j
1		trialprocedure	Hemma dansade hon hela dagen.	323	2	232	3	f
1		trialprocedure	Naturligtvis flickan talade med Anders.	238	1	114	2	j
1		trialprocedure	Hemma i Malmö han tystnade för att lyssna på fåglarna.	411	1	131	4	j
1		trialprocedure	Idag berättade hon om sin nya mössa.	133	2	242	3	f
1		trialprocedure	Idag tystnade flickan när hon fick se hunden.	448	2	244	3	f
1		trialprocedure	Idag på morgonen pojken sprang hem till Maria.	83	1	143	4	j
1		trialprocedure	Kanske satt pojken på soffan och tänkte.	306	2	224	3	f
1		trialprocedure	Hemma hos Eva pojken jobbade gärna.	439	1	133	4	j
1		trialprocedure	Idag på morgonen drack han upp.	151	2	241	5	f
1		trialprocedure	Naturligtvis han pratade med sin fröken.	236	1	112	2	j
1		trialprocedure	Idag på eftermiddagen sjöng flickan hemma i köket.	271	2	243	5	f
1		trialprocedure	Hemma flickan satt vid sin bänk.	2	1	134	2	j
1		trialprocedure	Idag på rasten hon läste tidningen.	65	1	141	4	j
1		trialprocedure	Kanske väntade han på henne i skoaffären.	51	2	222	3	f
1		trialprocedure	Hemma hos Anna berättade flickan vad hon bakade hos Anna.	324	2	233	5	f
1		trialprocedure	Naturligtvis svarade flickan Erik.	408	2	214	3	f
1		trialprocedure	Idag pojken målade en bild av en sjö.	399	1	144	2	j
1		trialprocedure	Hemma kröp pojken in under den varma filten.	475	2	234	3	f
1		trialprocedure	Kanske hon tystnade.	20	1	122	2	j
1		trialprocedure	Idag han arbetade.	296	1	142	2	j
1		trialprocedure	Kanske flickan tystnade.	175	1	124	2	j
