Weight	Nested	Procedure	stimulussentence	sentID	Condition	label	CriticalWord	repCorr
1		trialprocedure	Hemma flickan betalade för bollen.	127	1	134	2	f
1		trialprocedure	Idag efter lunchen smakade han mjölken.	381	2	241	5	j
1		trialprocedure	Kanske hon grät för att de var elaka.	124	1	122	2	f
1		trialprocedure	Kanske handlade flickan en ny mössa.	11	2	224	3	j
1		trialprocedure	Hemma han åt godiset själv.	187	1	132	2	f
1		trialprocedure	Idag efter rasten ramlade flickan.	89	2	243	5	j
1		trialprocedure	Naturligtvis städade hon hela köket.	146	2	212	3	j
1		trialprocedure	Hemma hos Anders tvättade hon filten.	335	2	231	5	j
1		trialprocedure	Idag på eftermiddagen pojken hoppade på studsmattan hela kvällen.	191	1	143	4	f
1		trialprocedure	Naturligtvis hon sov under den varma filten.	273	1	112	2	f
1		trialprocedure	Kanske pratade han med Maria hemma i köket.	466	2	222	3	j
1		trialprocedure	Idag hon klättrade upp i trädet snabbt.	25	1	142	2	f
1		trialprocedure	Kanske flickan målade en bild på hunden.	385	1	124	2	f
1		trialprocedure	Naturligtvis pojken tvättade Saras nya röda klänning.	142	1	114	2	f
1		trialprocedure	Naturligtvis sprang flickan på gräsmattan tillsammans med Anna.	68	2	214	3	j
1		trialprocedure	Hemma sparkade han boll.	139	2	232	3	j
1		trialprocedure	Idag på eftermiddagen han sov i gräset.	16	1	141	4	f
1		trialprocedure	Hemma hos Eric han tittade på Maria och log.	107	1	131	4	f
1		trialprocedure	Hemma drack flickan saft.	99	2	234	3	j
1		trialprocedure	Idag målade han en bild av en sjö.	181	2	242	3	j
1		trialprocedure	Hemma i Sverige badade pojken gärna.	71	2	233	5	j
1		trialprocedure	Idag pojken jobbade gärna.	310	1	144	2	f
1		trialprocedure	Hemma i Sverige pojken ringde och alla gick in.	309	1	133	4	f
1		trialprocedure	Idag tystnade flickan när hon fick se hunden.	448	2	244	3	j
1		trialprocedure	Naturligtvis hoppade flickan gärna.	430	2	214	3	j
1		trialprocedure	Idag på morgonen pojken tvättade.	52	1	143	4	f
1		trialprocedure	Idag han sov i gräset.	449	1	142	2	f
1		trialprocedure	Naturligtvis pojken dansade hela dagen hemma i vardagsrummet.	265	1	114	2	f
1		trialprocedure	Naturligtvis betalade han godiset själv med sina pengar.	379	2	212	3	j
1		trialprocedure	Idag pojken drack upp.	342	1	144	2	f
1		trialprocedure	Idag ramlade hon.	159	2	242	3	j
1		trialprocedure	Kanske han jobbade med läxan där hemma.	38	1	122	2	f
1		trialprocedure	Hemma i Sverige väntade pojken på att Anna skulle komma.	394	2	233	5	j
1		trialprocedure	Hemma flickan läste en bok för Sara.	262	1	134	2	f
1		trialprocedure	Hemma i Sverige svarade han på frågan.	311	2	231	5	j
1		trialprocedure	Naturligtvis hon smakade.	356	1	112	2	f
1		trialprocedure	Hemma han klättrade upp till skåpen.	474	1	132	2	f
1		trialprocedure	Hemma hos Maria flickan läste en bok för Sara.	301	1	133	4	f
1		trialprocedure	Hemma tittade pojken på Maria och log.	329	2	234	3	j
1		trialprocedure	Hemma i Sverige han ringde och alla gick in.	455	1	131	4	f
1		trialprocedure	Idag på eftermiddagen hoppade han på studsmattan hela kvällen.	317	2	241	5	j
1		trialprocedure	Kanske låg pojken och läste tidningen.	378	2	224	3	j
1		trialprocedure	Idag på eftermiddagen hon joggade hela vägen hem.	463	1	141	4	f
1		trialprocedure	Idag på morgonen vaknade pojken under filten.	213	2	243	5	j
1		trialprocedure	Hemma läste hon en bok för Sara.	414	2	232	3	j
1		trialprocedure	Kanske tittade hon på Saras nya röda klänning.	27	2	222	3	j
1		trialprocedure	Kanske pojken klättrade ner från trädet.	383	1	124	2	f
1		trialprocedure	Idag joggade flickan hela vägen hem.	130	2	244	3	j
