Weight	Nested	Procedure	stimulussentence	sentID	Condition	label	CriticalWord	repCorr
1		trialprocedure	Hemma i Lund talade hon med Erik.	386	2	231	5	f
1		trialprocedure	Hemma i Lund hon drack saft.	316	1	131	4	j
1		trialprocedure	Idag på morgonen tystnade flickan när hon fick se hunden.	454	2	243	5	f
1		trialprocedure	Naturligtvis ringde han till Anna sent på kvällen.	426	2	212	3	f
1		trialprocedure	Kanske smakade flickan Annas kakor.	298	2	224	3	f
1		trialprocedure	Idag han hoppade på studsmattan hela kvällen.	392	1	142	2	j
1		trialprocedure	Hemma svarade pojken på frågan.	137	2	234	3	f
1		trialprocedure	Hemma hos Anna flickan grät.	405	1	133	4	j
1		trialprocedure	Idag smakade pojken mjölken.	354	2	244	3	f
1		trialprocedure	Naturligtvis åt flickan Annas kakor.	6	2	214	3	f
1		trialprocedure	Idag flickan sparade pengarna till kakorna.	331	1	144	2	j
1		trialprocedure	Naturligtvis hon vilade bakom trädet.	367	1	112	2	j
1		trialprocedure	Hemma flickan dansade hela dagen.	62	1	134	2	j
1		trialprocedure	Idag efter rasten satt hon.	157	2	241	5	f
1		trialprocedure	Idag efter rasten hon sparade pengarna till kakorna.	377	1	141	4	j
1		trialprocedure	Kanske pojken klättrade ner från trädet.	383	1	124	2	j
1		trialprocedure	Idag betalade han.	84	2	242	3	f
1		trialprocedure	Hemma betalade hon för bollen.	158	2	232	3	f
1		trialprocedure	Hemma hon sjöng medan hon städade.	208	1	132	2	j
1		trialprocedure	Hemma i Lund lekte flickan ensam i köket.	111	2	233	5	f
1		trialprocedure	Kanske sprang hon snabbast.	173	2	222	3	f
1		trialprocedure	Naturligtvis pojken betalade godiset själv med sina pengar.	254	1	114	2	j
1		trialprocedure	Kanske han kröp in under filten.	190	1	122	2	j
1		trialprocedure	Idag efter rasten flickan sparade pengarna till kakorna.	435	1	143	4	j
1		trialprocedure	Hemma i Lund letade han efter sin bok.	229	2	231	5	f
1		trialprocedure	Naturligtvis han tvättade Saras nya röda klänning.	322	1	112	2	j
1		trialprocedure	Idag vaknade pojken under filten.	30	2	244	3	f
1		trialprocedure	Idag på eftermiddagen hon väntade på Anna.	355	1	141	4	j
1		trialprocedure	Naturligtvis vaknade hon på soffan.	288	2	212	3	f
1		trialprocedure	Kanske hon skrattade.	122	1	122	2	j
1		trialprocedure	Hemma i Sverige hon ramlade.	134	1	131	4	j
1		trialprocedure	Hemma i Sverige badade pojken gärna.	71	2	233	5	f
1		trialprocedure	Kanske flickan målade en bild på hunden.	385	1	124	2	j
1		trialprocedure	Hemma i Malmö pojken joggade.	241	1	133	4	j
1		trialprocedure	Idag på morgonen talade hon med Eva och Maria.	100	2	241	5	f
1		trialprocedure	Hemma pojken hoppade högt.	128	1	134	2	j
1		trialprocedure	Kanske sjöng pojken för Sara.	232	2	224	3	f
1		trialprocedure	Naturligtvis grät pojken när Sara gick på fest.	374	2	214	3	f
1		trialprocedure	Idag på eftermiddagen flickan lekte med Anders och Erik.	320	1	143	4	j
1		trialprocedure	Idag han vaknade under filten.	312	1	142	2	j
1		trialprocedure	Idag tvättade han.	79	2	242	3	f
1		trialprocedure	Idag på eftermiddagen sov pojken i gräset.	369	2	243	5	f
1		trialprocedure	Idag flickan satt.	224	1	144	2	j
1		trialprocedure	Hemma badade han gärna.	31	2	232	3	f
1		trialprocedure	Hemma lekte flickan ensam i köket.	478	2	234	3	f
1		trialprocedure	Naturligtvis pojken pratade med sin fröken.	257	1	114	2	j
1		trialprocedure	Hemma hon grät.	243	1	132	2	j
1		trialprocedure	Kanske hoppade hon.	143	2	222	3	f
