Weight	Nested	Procedure	stimulussentence	sentID	Condition	label	CriticalWord	repCorr
1		trialprocedure	Idag på morgonen han tvättade.	78	1	141	4	j
1		trialprocedure	Naturligtvis hon handlade tidningen.	334	1	112	2	j
1		trialprocedure	Kanske tvättade flickan kläderna.	285	2	224	3	f
1		trialprocedure	Kanske han klättrade ner från trädet.	258	1	122	2	j
1		trialprocedure	Idag kröp hon upp i soffan till Anna.	388	2	242	3	f
1		trialprocedure	Idag arbetade pojken.	434	2	244	3	f
1		trialprocedure	Idag på morgonen pojken ringde till sin pappa.	160	1	143	4	j
1		trialprocedure	Idag hon väntade på Anna.	211	1	142	2	j
1		trialprocedure	Hemma talade flickan med Erik.	189	2	234	3	f
1		trialprocedure	Naturligtvis pojken låg nedanför trädet och läste tidningen.	459	1	114	2	j
1		trialprocedure	Idag på morgonen målade han en bild av en sjö.	259	2	241	5	f
1		trialprocedure	Hemma i Sverige svarade han på frågan.	311	2	231	5	f
1		trialprocedure	Kanske flickan skrev i sin bok.	203	1	124	2	j
1		trialprocedure	Kanske tittade hon på Saras nya röda klänning.	27	2	222	3	f
1		trialprocedure	Hemma ringde han och alla gick in.	69	2	232	3	f
1		trialprocedure	Hemma pojken sov på soffan.	98	1	134	2	j
1		trialprocedure	Hemma han kröp in under den varma filten.	429	1	132	2	j
1		trialprocedure	Naturligtvis läste han läxan.	270	2	212	3	f
1		trialprocedure	Idag efter rasten svarade pojken snabbt.	373	2	243	5	f
1		trialprocedure	Idag pojken drack upp.	342	1	144	2	j
1		trialprocedure	Hemma i Sverige han sparkade boll.	479	1	131	4	j
1		trialprocedure	Hemma i Lund flickan vilade länge.	409	1	133	4	j
1		trialprocedure	Hemma vid Lund kröp pojken in under den varma filten.	282	2	233	5	f
1		trialprocedure	Naturligtvis skrev flickan.	92	2	214	3	f
1		trialprocedure	Hemma i Lund vilade hon länge.	227	2	231	5	f
1		trialprocedure	Idag flickan skrev i sin dagbok.	247	1	144	2	j
1		trialprocedure	Idag på rasten hon tittade på alla de vackra blommorna.	267	1	141	4	j
1		trialprocedure	Hemma tittade pojken på Maria och log.	329	2	234	3	f
1		trialprocedure	Hemma i Lund flickan drack saft.	87	1	133	4	j
1		trialprocedure	Naturligtvis hoppade flickan gärna.	430	2	214	3	f
1		trialprocedure	Naturligtvis hon smakade.	356	1	112	2	j
1		trialprocedure	Idag efter skolan skrattade flickan åt Eric när han busade.	60	2	243	5	f
1		trialprocedure	Idag efter lunchen jobbade han gärna.	305	2	241	5	f
1		trialprocedure	Kanske pojken ramlade och blev ledsen.	207	1	124	2	j
1		trialprocedure	Naturligtvis kröp han.	64	2	212	3	f
1		trialprocedure	Idag på morgonen pojken drack upp.	105	1	143	4	j
1		trialprocedure	Hemma han klättrade upp till skåpen.	474	1	132	2	j
1		trialprocedure	Kanske vilade flickan på gräsmattan.	293	2	224	3	f
1		trialprocedure	Hemma i Malmö han skrev kortet med blommorna till Anna.	205	1	131	4	j
1		trialprocedure	Kanske hon berättade vad som hade hänt.	344	1	122	2	j
1		trialprocedure	Kanske sparkade han boll.	225	2	222	3	f
1		trialprocedure	Hemma talade hon med Erik.	85	2	232	3	f
1		trialprocedure	Idag skrattade flickan åt Eric när han busade.	185	2	244	3	f
1		trialprocedure	Hemma pojken handlade upp alla pengarna.	120	1	134	2	j
1		trialprocedure	Idag hon grät.	5	1	142	2	j
1		trialprocedure	Naturligtvis pojken jobbade hemma.	141	1	114	2	j
1		trialprocedure	Idag dansade han runt.	23	2	242	3	f
1		trialprocedure	Hemma i Sverige sparkade pojken boll.	219	2	233	5	f
