Weight	Nested	Procedure	stimulussentence	sentID	Condition	label	CriticalWord	repCorr
1		trialprocedure	Idag vilade hon.	438	2	242	3	j
1		trialprocedure	Hemma i Lund talade hon med Erik.	386	2	231	5	j
1		trialprocedure	Kanske han läste tidningen ifred på sitt rum.	10	1	122	2	f
1		trialprocedure	Idag läste flickan tidningen.	200	2	244	3	j
1		trialprocedure	Hemma i Sverige hon ramlade.	134	1	131	4	f
1		trialprocedure	Hemma hon sjöng medan hon städade.	208	1	132	2	f
1		trialprocedure	Idag pojken spelade fotboll på gräsmattan.	274	1	144	2	f
1		trialprocedure	Idag efter skolan låg hon i soffan och läste.	473	2	241	5	j
1		trialprocedure	Hemma i Sverige spelade pojken match.	341	2	233	5	j
1		trialprocedure	Hemma i Malmö pojken sov på soffan.	140	1	133	4	f
1		trialprocedure	Hemma åt pojken godiset själv.	333	2	234	3	j
1		trialprocedure	Idag på morgonen pojken dansade runt.	77	1	143	4	f
1		trialprocedure	Idag efter lunchen han spelade fotboll på gräsmattan.	332	1	141	4	f
1		trialprocedure	Hemma handlade han upp alla pengarna.	313	2	232	3	j
1		trialprocedure	Idag efter skolan låg flickan i soffan och läste.	349	2	243	5	j
1		trialprocedure	Kanske letade pojken efter Sara som lekte.	42	2	224	3	j
1		trialprocedure	Kanske pojken kröp in under filten.	70	1	124	2	f
1		trialprocedure	Idag hon tittade på alla de vackra blommorna.	214	1	142	2	f
1		trialprocedure	Kanske sjöng han för Sara.	212	2	222	3	j
1		trialprocedure	Naturligtvis badade flickan hemma i kväll.	278	2	214	3	j
1		trialprocedure	Naturligtvis jobbade han hemma.	138	2	212	3	j
1		trialprocedure	Naturligtvis han väntade.	226	1	112	2	f
1		trialprocedure	Naturligtvis flickan handlade tidningen.	162	1	114	2	f
1		trialprocedure	Hemma pojken handlade upp alla pengarna.	120	1	134	2	f
1		trialprocedure	Hemma hos Eric vaknade pojken.	209	2	233	5	j
1		trialprocedure	Kanske pojken spelade kort med farfar.	343	1	124	2	f
1		trialprocedure	Idag efter rasten hon berättade om sin nya mössa.	450	1	141	4	f
1		trialprocedure	Kanske  badade flickan.	387	2	224	3	j
1		trialprocedure	Hemma smakade pojken alla de nybakade kakorna.	82	2	234	3	j
1		trialprocedure	Naturligtvis han berättade vad som hade hänt.	74	1	112	2	f
1		trialprocedure	Hemma i Lund hon låg på soffan och tänkte.	246	1	131	4	f
1		trialprocedure	Idag städade han undan sina kläder.	327	2	242	3	j
1		trialprocedure	Idag efter skolan betalade pojken.	169	2	243	5	j
1		trialprocedure	Kanske hon joggade hem.	234	1	122	2	f
1		trialprocedure	Kanske talade hon med sin fröken.	86	2	222	3	j
1		trialprocedure	Hemma städade hon hela dagen.	276	2	232	3	j
1		trialprocedure	Hemma i Sverige badade han gärna.	291	2	231	5	j
1		trialprocedure	Idag flickan vilade.	401	1	144	2	f
1		trialprocedure	Idag smakade pojken mjölken.	354	2	244	3	j
1		trialprocedure	Hemma hon drack saft.	350	1	132	2	f
1		trialprocedure	Naturligtvis pojken väntade.	249	1	114	2	f
1		trialprocedure	Hemma hos Anna flickan grät.	405	1	133	4	f
1		trialprocedure	Naturligtvis dansade han hela dagen hemma i vardagsrummet.	427	2	212	3	j
1		trialprocedure	Idag han jobbade gärna.	58	1	142	2	f
1		trialprocedure	Idag på rasten flickan läste tidningen utomhus.	47	1	143	4	f
1		trialprocedure	Hemma pojken joggade.	29	1	134	2	f
1		trialprocedure	Naturligtvis åt flickan Annas kakor.	6	2	214	3	j
1		trialprocedure	Idag på rasten åt hon sin mat.	192	2	241	5	j
